,Match_Id,Season_Id,City_Name,Batting_first_team,Batting_second_team,form_diff,target,Win_percent_1,Win_percent_2,Win_Ground_1,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,col99,col100,col101,col102,col103,col104,col105,col106,col107,col108,col109,col110,col111,col112,col113,col114,col115,col116,col117,col118,col119,col120,col121,col122,col123,col124,col125,col126,col127,col128,col129,col130,col131
0,335987,1,Bangalore,1,2,0.1,1,0.5,-0.5,0.5,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9
1,335988,1,Chandigarh,3,4,0.1,1,0.5,-0.5,0.5,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9
2,335989,1,Delhi,5,6,0.1,0,0.5,-0.5,0.5,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9
3,335990,1,Mumbai,7,2,0.1,0,0.5,-0.5,0.5,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,-36,-24,-9,-2,-66.6666666666667,0,-36,-24,-9,0,0,0,-36,-24,-9,-8,-114.285714285714,-0.857142857142857,-48,-24,-12,-1,-20,0,-36,-24,-9,-7,-77.7777777777778,-0.444444444444444,-36,-24,-9,0,0,0,-36,-24,-9,-18,-120,-1.06666666666667,-38,-24,-9.5,-3,-37.5,0,-38,-24,-9.5,-3,-50,0,-34.6666666666667,-24,-8.66666666666667,0,0,0,-36,-24,-9
4,335991,1,Kolkata,8,1,0.1,0,0.5,-0.5,0.5,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,36,24,9,0,0,0,-36,-24,-9,-158,-216.438356164384,-1.61643835616438,-36,-24,-9,-20,-100,-0.5,-36,-24,-9,-10,-83.3333333333333,-0.666666666666667,-10.5,-12,-5.25,-12,-100,-0.333333333333333,-36,-24,-9,-5,-166.666666666667,-1.33333333333333,-36,-24,-9,0,0,0,-12,-7,-10.2857142857143,0,0,0,-8.33333333333333,-8,-6.25,0,0,0,-4.5,-9,-3,0,0,0,-36,-24,-9,0,0,0,-7,-18,-2.33333333333333
5,335992,1,Jaipur,4,5,-0.1,0,0.5,-0.5,0.5,24,126.315789473684,0.736842105263158,50,24,12.5,71,215.151515151515,1.75757575757576,53,24,13.25,54,163.636363636364,0.96969696969697,36,24,9,0,0,0,36,24,9,23,176.923076923077,1.23076923076923,36,24,9,3,60,0,23.5,12,11.75,0,0,0,36,24,9,0,0,0,35,24,8.75,0,0,0,76,24,19,0,0,0,24,12,12,0,0,0,46.6666666666667,24,11.6666666666667,-9,-47.3684210526316,0,-36,-24,-9,0,0,0,-36,-24,-9,-10,-200,-1.6,-31.3846153846154,-24,-7.84615384615385,-17,-113.333333333333,-0.8,-31,-24,-7.75,-1,-50,0,-36,-24,-9,-29,-126.086956521739,-0.869565217391304,-36,-24,-9,0,0,0,-36,-24,-9,-26,-130,-0.8,-44,-24,-11,-14,-107.692307692308,-0.615384615384615,-32,-24,-8,-3,-42.8571428571429,0,-42.6666666666667,-24,-10.6666666666667,0,0,0,-33.3333333333333,-24,-8.33333333333333
6,335993,1,Hyderabad,8,6,-0.6,0,0.5,-0.5,0.5,23,104.545454545455,0.727272727272727,36,24,9,14,100,0.285714285714286,36,24,9,0,0,0,36,24,9,32,82.051282051282,0.512820512820513,40,24,10,0,0,0,36,24,9,0,0,0,36,24,9,14,140,1,25.3333333333333,24,6.33333333333333,10,100,0.6,36,24,9,0,0,0,4.5,9,3,1,50,0,15,18,5,0,0,0,9,12,4.5,-58,-126.086956521739,-0.739130434782609,-36,-24,-9,-12,-300,-3,-36,-24,-9,-52,-126.829268292683,-0.780487804878049,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-8.5,-12,-4.25,0,0,0,-5.5,-12,-2.75,0,0,0,-36,-24,-9,0,0,0,-36,-24,-9,0,0,0,-21,-24,-5.25
7,335994,1,Chennai,3,7,0.6,1,0.5,-0.5,0.5,15,150,1.2,36,24,9,25,147.058823529412,1.29411764705882,36,24,9,116,214.814814814815,1.59259259259259,36,24,9,32,246.153846153846,2,36,24,9,2,66.6666666666667,0,36,24,9,13,130,0.6,37,24,9.25,31,221.428571428571,1.71428571428571,36,24,9,0,0,0,47,24,11.75,0,0,0,42,24,10.5,0,0,0,42,24,10.5,0,0,0,33,24,8.25,-8,-80,-0.8,-36,-24,-9,-29,-181.25,-1.625,-39,-24,-9.75,-48,-126.315789473684,-0.68421052631579,-36,-24,-9,-28,-233.333333333333,-2,-17,-24,-4.25,0,0,0,-36,-24,-9,-20,-142.857142857143,-0.714285714285714,-40,-24,-10,0,0,0,-36,-24,-9,-2,-100,0,-18,-12,-9,0,0,0,-45,-24,-11.25,0,0,0,-36,-24,-9,0,0,0,-19,-16,-7.125
8,335995,1,Hyderabad,8,5,-0.6,0,0.5,-0.5,0.5,15.5,100,0.709677419354839,36,24,9,1,16.6666666666667,0,36,24,9,2,28.5714285714286,0,34,24,8.5,22,84.6153846153846,0.538461538461538,55,24,13.75,33,169.230769230769,1.23076923076923,36,24,9,11,129.411764705882,0.823529411764706,36,24,9,11,91.6666666666667,0.416666666666667,49,30,9.8,12,171.428571428571,0.857142857142857,15.5,18,5.16666666666667,2,66.6666666666667,0,21,18,7,0,0,0,15,15,6,0,0,0,36,24,9,-15,-150,-1.4,-36,-24,-9,0,0,0,-36,-24,-9,-8.5,-170,-1.2,-37.8947368421053,-24,-9.47368421052632,-93,-145.3125,-0.96875,-70,-48,-8.75,-7,-51.8518518518519,-0.148148148148148,-36,-24,-9,-65,-135.416666666667,-0.958333333333333,-36,-24,-9,-14,-107.692307692308,-0.615384615384615,-11.6666666666667,-12,-5.83333333333333,-26,-130,-0.8,-32,-17,-11.2941176470588,0,0,0,-48,-24,-12,-3,-42.8571428571429,0,-28.5,-21,-8.14285714285714,0,0,0,-61,-42,-8.71428571428571
9,335996,1,Chandigarh,4,7,-0.4,1,0.5,-0.5,0.5,25,125,0.95,50,24,12.5,15,62.5,0.25,22.6666666666667,16,8.5,37,180.487804878049,1.21951219512195,36,24,9,40,170.212765957447,1.23404255319149,36,24,9,0,0,0,36,24,9,2,50,0,36,24,9,4,100,0,36,24,9,0,0,0,35,24,8.75,24,218.181818181818,1.45454545454545,61.3333333333333,24,15.3333333333333,0,0,0,73,37,11.8378378378378,0,0,0,36,24,9,-5,-76.9230769230769,-0.615384615384615,-36,-24,-9,-24.5,-181.481481481482,-1.55555555555556,-39,-24,-9.75,-45.5,-122.972972972973,-0.756756756756757,-36,-24,-9,-24,-150,-0.875,-48,-24,-12,0,0,0,-36,-24,-9,-22.5,-166.666666666667,-1.11111111111111,-49,-42,-7,-65,-191.176470588235,-1.17647058823529,-48,-24,-12,-30,-187.5,-1.375,-25,-18,-8.33333333333333,-9,-180,-1.2,-14.5,-9,-9.66666666666667,0,0,0,-22,-17,-7.76470588235294,-1,-50,0,-40,-24,-10
