,Match_Id,Player_Id,cum_run_scored,cum_ball_faced,cum_four,cum_six,cum_dis,cum_run_conceded,cum_ball_thrown,cum_wicket,Batting_Average,Batting_Strike_Rate,Hard_Hitter,Economy_Rate,Bowling_Strike_Rate,Bowling_Average
0,335987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,24.0,36.0
102,335991,1,10.0,12.0,2.0,0.0,1.0,21.0,24.0,2.0,10.0,0.8333333333333334,0.6666666666666666,5.25,12.0,10.5
242,335998,1,24.0,42.0,3.0,0.0,2.0,21.0,24.0,2.0,12.0,0.5714285714285714,0.2857142857142857,5.25,12.0,10.5
331,336002,1,36.0,61.0,4.0,0.0,3.0,21.0,24.0,2.0,12.0,0.5901639344262295,0.26229508196721313,5.25,12.0,10.5
406,336005,1,40.0,63.0,5.0,0.0,4.0,35.0,36.0,2.0,10.0,0.6349206349206349,0.31746031746031744,5.833333333333333,18.0,17.5
471,336008,1,91.0,102.0,9.0,2.0,5.0,49.0,42.0,2.0,18.2,0.8921568627450981,0.47058823529411764,7.0,21.0,24.5
618,336015,1,96.0,109.0,10.0,2.0,6.0,49.0,42.0,2.0,16.0,0.8807339449541285,0.47706422018348627,7.0,21.0,24.5
706,336019,1,116.0,131.0,12.0,2.0,7.0,56.0,60.0,3.0,16.571428571428573,0.8854961832061069,0.4580152671755725,5.6,20.0,18.666666666666668
772,336022,1,207.0,188.0,23.0,7.0,8.0,81.0,84.0,5.0,25.875,1.101063829787234,0.7127659574468085,5.785714285714286,16.8,16.2
860,336026,1,214.0,192.0,23.0,8.0,9.0,104.0,108.0,5.0,23.77777777777778,1.1145833333333333,0.7291666666666666,5.777777777777778,21.6,20.8
948,336030,1,229.0,212.0,25.0,8.0,10.0,104.0,108.0,5.0,22.9,1.080188679245283,0.6981132075471698,5.777777777777778,21.6,20.8
992,336032,1,231.0,220.0,25.0,8.0,11.0,104.0,108.0,5.0,21.0,1.05,0.6727272727272727,5.777777777777778,21.6,20.8
1153,336040,1,263.0,254.0,27.0,9.0,12.0,128.0,120.0,6.0,21.916666666666668,1.0354330708661417,0.6377952755905512,6.4,20.0,21.333333333333332
1278,419111,1,349.0,307.0,33.0,15.0,12.0,128.0,120.0,6.0,29.083333333333332,1.1368078175895766,0.7231270358306189,6.4,20.0,21.333333333333332
