,Match_Id,cum_run_conceded,cum_ball_thrown,cum_wicket,Player_Id
0,335987,0,0,0.0,1
178,336002,21,24,2.0,1
216,336005,35,36,2.0,1
337,336015,49,42,2.0,1
383,336019,56,60,3.0,1
419,336022,81,84,5.0,1
535,336032,104,108,5.0,1
717,392189,128,120,6.0,1
743,392191,136,126,6.0,1
778,392195,160,150,8.0,1
853,392202,183,168,8.0,1
878,392204,199,174,8.0,1
981,392212,216,186,8.0,1
1432,419114,225,192,8.0,1
1856,419149,243,204,8.0,1
2061,419166,255,210,8.0,1
3312,548338,268,216,8.0,1
3361,548342,295,240,8.0,1
3468,548353,307,246,8.0,1
3787,548380,346,264,8.0,1
46,335991,0,0,0.0,4
131,335998,35,18,1.0,4
217,336005,45,24,1.0,4
254,336008,71,36,1.0,4
616,336040,94,54,2.0,4
1159,392226,130,78,2.0,4
1247,392233,140,84,2.0,4
1287,392236,146,90,2.0,4
1644,419132,164,102,2.0,4
1691,419136,171,108,2.0,4
1793,419144,195,132,2.0,4
1964,419158,208,138,2.0,4
2062,419166,230,150,2.0,4
2417,501228,244,162,2.0,4
2547,501239,263,168,3.0,4
3326,548339,282,180,3.0,4
3406,548348,294,186,3.0,4
3493,548355,297,192,3.0,4
3604,548364,306,204,3.0,4
3684,548371,308,210,3.0,4
3742,548376,321,217,3.0,4
4077,598021,344,235,3.0,4
4319,598042,358,241,3.0,4
4366,598046,390,253,3.0,4
4581,598064,421,277,3.0,4
5238,734018,435,301,3.0,4
47,335991,0,0,0.0,5
132,335998,8,24,1.0,5
179,336002,24,36,1.0,5
255,336008,40,42,1.0,5
191,336003,0,0,0.0,8
241,336007,11,6,0.0,8
407,336021,36,28,2.0,8
488,336028,45,34,2.0,8
729,392190,61,46,2.0,8
1300,392237,70,52,2.0,8
1348,392241,82,64,2.0,8
1433,419114,107,82,2.0,8
1469,419117,108,84,2.0,8
1941,419156,131,96,2.0,8
2075,419167,147,108,2.0,8
2145,501205,157,114,2.0,8
2205,501210,171,126,3.0,8
2281,501216,186,138,3.0,8
2403,501227,209,156,3.0,8
2671,501249,218,162,3.0,8
2765,501257,225,168,3.0,8
2802,501260,242,186,3.0,8
2859,501265,256,192,3.0,8
2925,501271,269,198,3.0,8
2948,501273,277,204,4.0,8
3105,548320,296,216,4.0,8
3141,548323,309,222,4.0,8
5719,829754,345,234,4.0,8
5873,829784,349,239,4.0,8
6655,980992,355,245,4.0,8
1,335987,0,0,0.0,9
34,335990,48,24,1.0,9
119,335997,91,42,1.0,9
168,336001,98,48,1.0,9
192,336003,134,72,1.0,9
242,336007,173,96,3.0,9
292,336011,192,104,3.0,9
489,336028,206,122,3.0,9
523,336031,245,146,3.0,9
559,336034,261,158,3.0,9
605,336039,276,182,3.0,9
730,392190,311,206,4.0,9
755,392193,339,218,4.0,9
790,392196,358,230,4.0,9
817,392199,409,254,5.0,9
942,392209,446,272,5.0,9
995,392213,465,290,5.0,9
1058,392218,488,314,5.0,9
1123,392223,508,338,6.0,9
1160,392226,531,356,6.0,9
1197,392229,571,380,6.0,9
1301,392237,589,404,8.0,9
1349,392241,606,428,9.0,9
1372,392243,614,434,9.0,9
1384,392244,640,458,10.0,9
1434,419114,664,482,10.0,9
1470,419117,698,500,10.0,9
1506,419120,737,524,11.0,9
1552,419124,757,548,13.0,9
1598,419128,792,572,14.0,9
1657,419133,821,596,14.0,9
1717,419138,857,620,14.0,9
1755,419141,878,638,15.0,9
1806,419145,923,662,16.0,9
1868,419150,949,680,16.0,9
1905,419153,981,704,16.0,9
1942,419156,1012,728,18.0,9
1977,419159,1052,752,18.0,9
2012,419162,1071,776,19.0,9
2076,419167,1112,800,21.0,9
2098,419169,1137,812,21.0,9
2121,501203,1140,824,23.0,9
2255,501214,1174,842,25.0,9
2500,501235,1205,866,25.0,9
2608,501244,1216,878,25.0,9
2644,501247,1228,890,26.0,9
2683,501250,1249,908,26.0,9
2803,501260,1258,914,26.0,9
2881,501267,1274,932,28.0,9
2960,501274,1292,944,28.0,9
3009,548312,1310,968,30.0,9
3071,548317,1333,986,31.0,9
3106,548320,1367,1011,31.0,9
3165,548325,1374,1023,31.0,9
3201,548328,1400,1041,31.0,9
3256,548333,1430,1065,31.0,9
3338,548340,1453,1083,31.0,9
3420,548349,1469,1095,31.0,9
3454,548352,1498,1121,31.0,9
3532,548358,1518,1146,31.0,9
3581,548362,1533,1159,31.0,9
