,Match_Id,Match_Date,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,IS_Superover,IS_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country,Inning_1_Score,Inning_2_Score,Batting_first_team,Batting_second_team
0,335987,18-Apr-08,2,1,1,M Chinnaswamy Stadium,2,field,0,1,0,by runs,140.0,1.0,2.0,470,477,Bangalore,India,222,82,1,2
1,335988,19-Apr-08,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0,1,0,by runs,33.0,3.0,19.0,471,487,Chandigarh,India,240,207,3,4
2,335989,19-Apr-08,6,5,1,Feroz Shah Kotla,5,bat,0,1,0,by wickets,9.0,6.0,90.0,472,512,Delhi,India,125,132,5,6
3,335990,20-Apr-08,7,2,1,Wankhede Stadium,7,bat,0,1,0,by wickets,5.0,2.0,11.0,473,476,Mumbai,India,165,166,7,2
4,335991,20-Apr-08,1,8,1,Eden Gardens,8,bat,0,1,0,by wickets,5.0,1.0,4.0,474,486,Kolkata,India,110,112,8,1
5,335992,21-Apr-08,5,4,1,Sawai Mansingh Stadium,4,bat,0,1,0,by wickets,6.0,5.0,32.0,472,513,Jaipur,India,166,168,4,5
6,335993,22-Apr-08,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,9.0,6.0,41.0,475,492,Hyderabad,India,142,143,8,6
7,335994,23-Apr-08,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0,1,0,by runs,6.0,3.0,18.0,476,512,Chennai,India,208,202,3,7
8,335995,24-Apr-08,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0,1,0,by wickets,3.0,5.0,31.0,470,471,Hyderabad,India,214,217,8,5
9,335996,25-Apr-08,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,0,by runs,66.0,4.0,26.0,472,492,Chandigarh,India,182,116,4,7
10,335997,26-Apr-08,2,5,1,M Chinnaswamy Stadium,5,field,0,1,0,by wickets,7.0,5.0,32.0,471,475,Bangalore,India,135,138,2,5
11,335998,26-Apr-08,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0,1,0,by wickets,9.0,3.0,22.0,474,479,Chennai,India,147,152,1,3
12,335999,27-Apr-08,7,8,1,Dr DY Patil Sports Academy,8,field,0,1,0,by wickets,10.0,8.0,53.0,470,487,Mumbai,India,154,155,7,8
13,336000,27-Apr-08,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0,1,0,by wickets,4.0,4.0,28.0,477,514,Chandigarh,India,158,162,6,4
14,336001,28-Apr-08,2,3,1,M Chinnaswamy Stadium,3,bat,0,1,0,by runs,13.0,3.0,20.0,478,513,Bangalore,India,178,165,3,2
15,336002,29-Apr-08,1,7,1,Eden Gardens,1,bat,0,1,0,by wickets,7.0,7.0,44.0,474,479,Kolkata,India,137,138,1,7
16,336003,30-Apr-08,6,2,1,Feroz Shah Kotla,2,field,0,1,0,by runs,10.0,6.0,118.0,472,514,Delhi,India,191,181,6,2
17,336004,1-May-08,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,0,by wickets,7.0,4.0,100.0,478,513,Hyderabad,India,164,167,8,4
18,336005,1-May-08,5,1,1,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,45.0,5.0,101.0,477,512,Jaipur,India,196,151,5,1
19,336006,2-May-08,3,6,1,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,8.0,6.0,41.0,474,486,Chennai,India,169,172,3,6
20,336007,25-May-08,8,2,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,5.0,2.0,81.0,470,477,Hyderabad,India,165,171,8,2
21,336008,3-May-08,4,1,1,"Punjab Cricket Association Stadium, Mohali",4,bat,0,1,0,by runs,9.0,4.0,29.0,476,514,Chandigarh,India,178,169,4,1
22,336009,4-May-08,7,6,1,Dr DY Patil Sports Academy,6,field,0,1,0,by runs,29.0,7.0,49.0,475,477,Mumbai,India,162,133,7,6
23,336010,4-May-08,5,3,1,Sawai Mansingh Stadium,3,bat,0,1,0,by wickets,8.0,5.0,102.0,470,479,Jaipur,India,109,106,3,5
24,336011,5-May-08,2,4,1,M Chinnaswamy Stadium,4,field,0,1,0,by wickets,6.0,4.0,77.0,473,478,Bangalore,India,126,127,2,4
25,336012,6-May-08,3,8,1,"MA Chidambaram Stadium, Chepauk",8,field,0,1,0,by wickets,7.0,8.0,53.0,471,513,Chennai,India,144,148,3,8
26,336013,7-May-08,7,5,1,Dr DY Patil Sports Academy,7,field,0,1,0,by wickets,7.0,7.0,73.0,476,477,Mumbai,India,103,104,5,7
27,336014,8-May-08,6,3,1,Feroz Shah Kotla,3,field,0,1,0,by wickets,4.0,3.0,20.0,472,513,Delhi,India,187,188,6,3
28,336015,8-May-08,1,2,1,Eden Gardens,1,bat,0,1,0,by runs,5.0,1.0,1.0,470,475,Kolkata,India,129,124,1,2
29,336016,9-May-08,5,8,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,8.0,5.0,31.0,471,492,Jaipur,India,140,141,8,5
30,336017,28-May-08,2,7,1,M Chinnaswamy Stadium,7,field,0,1,0,by wickets,9.0,7.0,149.0,474,479,Bangalore,India,122,126,2,7
31,336018,10-May-08,3,4,1,"MA Chidambaram Stadium, Chepauk",4,field,0,1,0,by runs,18.0,3.0,151.0,479,480,Chennai,India,181,163,3,4
32,336019,11-May-08,8,1,1,"Rajiv Gandhi International Stadium, Uppal",1,bat,0,1,0,by runs,23.0,1.0,1.0,475,492,Hyderabad,India,198,181,1,8
33,336020,11-May-08,5,6,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,3.0,5.0,32.0,473,477,Jaipur,India,156,159,6,5
34,336021,12-May-08,4,2,1,"Punjab Cricket Association Stadium, Mohali",2,bat,0,1,0,by wickets,9.0,4.0,100.0,478,514,Chandigarh,India,143,144,2,4
35,336022,13-May-08,1,6,1,Eden Gardens,1,bat,0,1,0,by runs,23.0,1.0,144.0,470,475,Kolkata,India,133,110,1,6
36,336023,14-May-08,7,3,1,Wankhede Stadium,7,field,0,1,0,by wickets,9.0,7.0,44.0,478,492,Mumbai,India,156,158,3,7
37,336024,28-May-08,4,5,1,"Punjab Cricket Association Stadium, Mohali",5,field,0,1,0,by runs,41.0,4.0,100.0,473,486,Chandigarh,India,221,180,4,5
38,336025,15-May-08,6,8,1,Feroz Shah Kotla,8,field,0,1,0,by runs,12.0,6.0,136.0,480,512,Delhi,India,194,182,6,8
39,336026,16-May-08,7,1,1,Wankhede Stadium,7,field,0,1,0,by wickets,8.0,7.0,49.0,478,476,Mumbai,India,67,68,1,7
40,336027,17-May-08,6,4,1,Feroz Shah Kotla,6,bat,0,1,1,by runs,6.0,4.0,64.0,479,477,Delhi,India,118,94,6,4
41,336028,17-May-08,5,2,1,Sawai Mansingh Stadium,2,field,0,1,0,by runs,65.0,5.0,74.0,474,487,Jaipur,India,197,132,5,2
42,336029,18-May-08,8,7,1,"Rajiv Gandhi International Stadium, Uppal",8,field,0,1,0,by runs,25.0,7.0,71.0,478,476,Hyderabad,India,177,153,7,8
43,336030,18-May-08,1,3,1,Eden Gardens,1,bat,0,1,1,by runs,3.0,3.0,122.0,470,486,Kolkata,India,149,55,1,3
44,336031,19-May-08,2,6,1,M Chinnaswamy Stadium,6,field,0,1,0,by wickets,5.0,6.0,132.0,473,512,Bangalore,India,154,158,2,6
45,336032,20-May-08,1,5,1,Eden Gardens,5,field,0,1,0,by wickets,6.0,5.0,31.0,480,477,Kolkata,India,147,150,1,5
46,336033,21-May-08,7,4,1,Wankhede Stadium,7,field,0,1,0,by runs,1.0,4.0,100.0,474,512,Mumbai,India,189,188,4,7
47,336034,21-May-08,3,2,1,"MA Chidambaram Stadium, Chepauk",2,bat,0,1,0,by runs,14.0,2.0,124.0,476,514,Chennai,India,126,112,2,3
48,336036,23-May-08,4,8,1,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by wickets,6.0,4.0,100.0,470,473,Chandigarh,India,175,178,8,4
49,336037,24-May-08,6,7,1,Feroz Shah Kotla,6,field,0,1,0,by wickets,5.0,6.0,88.0,474,486,Delhi,India,176,179,7,6
50,336038,24-May-08,3,5,1,"MA Chidambaram Stadium, Chepauk",5,bat,0,1,0,by runs,10.0,5.0,109.0,476,487,Chennai,India,211,201,5,3
51,336039,3-May-08,2,8,1,M Chinnaswamy Stadium,8,field,0,1,0,by runs,3.0,2.0,14.0,478,487,Bangalore,India,156,153,2,8
52,336040,25-May-08,1,4,1,Eden Gardens,4,bat,0,1,0,by wickets,3.0,1.0,105.0,473,514,Kolkata,India,174,175,4,1
53,336041,26-May-08,5,7,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,5.0,5.0,102.0,474,486,Jaipur,India,145,146,7,5
54,336042,27-May-08,8,3,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,7.0,3.0,21.0,480,492,Hyderabad,India,147,148,8,3
55,336043,30-May-08,6,5,1,Wankhede Stadium,6,field,0,1,0,by runs,105.0,5.0,32.0,474,477,Mumbai,India,192,87,5,6
56,336044,31-May-08,3,4,1,Wankhede Stadium,4,bat,0,1,0,by wickets,9.0,3.0,122.0,470,476,Mumbai,India,112,116,4,3
57,336045,1-Jun-08,3,5,1,Dr DY Patil Sports Academy,5,field,0,1,0,by wickets,3.0,5.0,31.0,474,477,Mumbai,India,163,164,3,5
115,419111,12-Mar-10,8,1,3,Dr DY Patil Sports Academy,8,field,0,1,0,by runs,11.0,1.0,191.0,477,513,Mumbai,India,161,150,1,8
116,419112,13-Mar-10,7,5,3,Brabourne Stadium,7,bat,0,1,0,by runs,4.0,7.0,31.0,477,513,Mumbai,India,212,208,7,5
117,419113,13-Mar-10,4,6,3,"Punjab Cricket Association Stadium, Mohali",6,field,0,1,0,by wickets,5.0,6.0,40.0,478,489,Chandigarh,India,142,146,4,6
118,419114,14-Mar-10,1,2,3,Eden Gardens,1,field,0,1,0,by wickets,7.0,1.0,87.0,482,492,Kolkata,India,135,136,2,1
119,419115,14-Mar-10,3,8,3,"MA Chidambaram Stadium, Chepauk",8,bat,0,1,0,by runs,31.0,8.0,60.0,486,476,Chennai,India,190,159,8,3
120,419116,15-Mar-10,5,6,3,"Sardar Patel Stadium, Motera",6,field,0,1,0,by wickets,6.0,6.0,41.0,480,477,Ahmedabad,India,141,142,5,6
121,419117,16-Mar-10,2,4,3,M Chinnaswamy Stadium,4,bat,0,1,0,by wickets,8.0,2.0,9.0,491,476,Bangalore,India,203,204,4,2
122,419118,16-Mar-10,1,3,3,Eden Gardens,3,bat,0,1,0,by runs,55.0,3.0,20.0,482,492,Kolkata,India,164,109,3,1
